frame,time_sec,num_people,status
0,0.0,14,Crowded
5,0.21,16,Crowded
10,0.42,14,Crowded
15,0.63,14,Crowded
20,0.83,14,Crowded
25,1.04,14,Crowded
30,1.25,15,Crowded
35,1.46,14,Crowded
40,1.67,15,Crowded
45,1.88,10,Crowded
50,2.09,12,Crowded
55,2.29,11,Crowded
60,2.5,11,Crowded
65,2.71,14,Crowded
70,2.92,12,Crowded
75,3.13,15,Crowded
80,3.34,14,Crowded
85,3.55,11,Crowded
90,3.75,11,Crowded
95,3.96,12,Crowded
100,4.17,13,Crowded
105,4.38,13,Crowded
110,4.59,11,Crowded
115,4.8,11,Crowded
120,5.0,13,Crowded
125,5.21,15,Crowded
130,5.42,14,Crowded
135,5.63,14,Crowded
140,5.84,12,Crowded
145,6.05,12,Crowded
150,6.26,9,Crowded
155,6.46,13,Crowded
160,6.67,15,Crowded
165,6.88,12,Crowded
170,7.09,9,Crowded
175,7.3,10,Crowded
180,7.51,12,Crowded
185,7.72,15,Crowded
190,7.92,10,Crowded
195,8.13,12,Crowded
200,8.34,9,Crowded
205,8.55,10,Crowded
210,8.76,11,Crowded
215,8.97,13,Crowded
220,9.18,9,Crowded
225,9.38,11,Crowded
230,9.59,11,Crowded
235,9.8,11,Crowded
240,10.01,12,Crowded
245,10.22,14,Crowded
250,10.43,11,Crowded
255,10.64,11,Crowded
260,10.84,11,Crowded
265,11.05,9,Crowded
270,11.26,10,Crowded
275,11.47,10,Crowded
280,11.68,14,Crowded
285,11.89,12,Crowded
290,12.1,13,Crowded
295,12.3,13,Crowded
300,12.51,11,Crowded
305,12.72,12,Crowded
310,12.93,11,Crowded
315,13.14,9,Crowded
320,13.35,12,Crowded
325,13.56,15,Crowded
330,13.76,10,Crowded
335,13.97,12,Crowded
340,14.18,16,Crowded
345,14.39,15,Crowded
350,14.6,17,Crowded
355,14.81,11,Crowded
360,15.01,13,Crowded
365,15.22,14,Crowded
370,15.43,11,Crowded
375,15.64,12,Crowded
380,15.85,13,Crowded
385,16.06,11,Crowded
390,16.27,8,Crowded
395,16.47,12,Crowded
400,16.68,14,Crowded
405,16.89,15,Crowded
410,17.1,10,Crowded
415,17.31,15,Crowded
420,17.52,11,Crowded
425,17.73,11,Crowded
430,17.93,10,Crowded
435,18.14,14,Crowded
440,18.35,14,Crowded
445,18.56,12,Crowded
450,18.77,11,Crowded
455,18.98,12,Crowded
460,19.19,13,Crowded
465,19.39,11,Crowded
470,19.6,13,Crowded
475,19.81,14,Crowded
480,20.02,13,Crowded
485,20.23,13,Crowded
490,20.44,11,Crowded
495,20.65,11,Crowded
500,20.85,12,Crowded
505,21.06,10,Crowded
510,21.27,12,Crowded
515,21.48,9,Crowded
520,21.69,14,Crowded
525,21.9,12,Crowded
530,22.11,10,Crowded
535,22.31,11,Crowded
540,22.52,11,Crowded
545,22.73,12,Crowded
550,22.94,12,Crowded
555,23.15,10,Crowded
560,23.36,13,Crowded
565,23.57,11,Crowded
570,23.77,10,Crowded
575,23.98,9,Crowded
580,24.19,6,Crowded
585,24.4,7,Crowded
590,24.61,11,Crowded
595,24.82,8,Crowded
600,25.02,12,Crowded
605,25.23,12,Crowded
610,25.44,11,Crowded
615,25.65,12,Crowded
620,25.86,13,Crowded
625,26.07,11,Crowded
630,26.28,12,Crowded
635,26.48,13,Crowded
640,26.69,15,Crowded
645,26.9,12,Crowded
650,27.11,13,Crowded
655,27.32,16,Crowded
660,27.53,12,Crowded
665,27.74,14,Crowded
670,27.94,16,Crowded
675,28.15,17,Crowded
680,28.36,14,Crowded
685,28.57,15,Crowded
690,28.78,13,Crowded
695,28.99,17,Crowded
700,29.2,12,Crowded
705,29.4,12,Crowded
710,29.61,12,Crowded
715,29.82,14,Crowded
